hx hy hz energy energy_err energy_var mag mag_err mag_var abs_mag abs_mag_err abs_mag_var xcubes xcubes_err xcubes_var zcubes zcubes_err zcubes_var
0.000000000000000000e+00 0.000000000000000000e+00 3.900000000000000133e-01 -6.525006961226287672e+01 2.087446607201604064e-04 1.753795053267274973e-02 1.027828852335611887e-01 2.104399304732603262e-04 1.651500243062602874e-02 1.321741739908854074e-01 1.613487544268510832e-04 9.609311657388590333e-03 3.068460879683319220e+01 5.255441429098305084e-03 1.030560151650297662e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000222e-01 -6.531732035104184320e+01 2.219255703605681153e-04 1.969782644531034924e-02 1.060328483581542969e-01 2.117885241268184157e-04 1.663858784475754152e-02 1.343992551167805805e-01 1.602075477812003022e-04 9.818392999755409106e-03 3.060287943307309888e+01 5.423374142878504937e-03 1.092085123914641187e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.099999999999999756e-01 -6.538659779166732733e+01 2.374443012912294993e-04 2.226251436310589665e-02 1.094524065653482980e-01 2.134456606228618211e-04 1.665190753189765144e-02 1.365536053975422992e-01 1.644902195968511662e-04 9.984849687776254853e-03 3.051456664339259817e+01 5.619764408387991142e-03 1.148636350851857379e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.199999999999999845e-01 -6.545829990236316576e+01 2.437043765762183112e-04 2.502852687551125957e-02 1.120942433675130162e-01 2.149919395163237229e-04 1.668351557802654622e-02 1.381737391153971262e-01 1.650732409178844477e-04 1.015665279303195473e-02 3.044520664064441462e+01 5.795463019639780951e-03 1.207730412176745460e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.299999999999999933e-01 -6.553226311476845467e+01 2.617220066713896631e-04 2.818036972344856866e-02 1.156646410624186105e-01 2.229731940633315746e-04 1.688738963818852551e-02 1.408085823059082031e-01 1.712731575947930892e-04 1.043864197928693650e-02 3.034917219273069122e+01 6.141736223854850525e-03 1.281568081763191458e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.400000000000000022e-01 -6.560879081362944021e+01 2.891584719607881849e-04 3.174490751683578527e-02 1.191929181416829381e-01 2.157494379912299246e-04 1.687564862001838389e-02 1.429950396219889230e-01 1.731281636603592853e-04 1.063501899865413117e-02 3.025231823875965631e+01 6.076951771971319041e-03 1.341290481682490565e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 -6.568747397236413121e+01 3.128494597550419520e-04 3.591364632346259744e-02 1.225973765055338449e-01 2.245217216220663154e-04 1.714760970167440723e-02 1.455643971761067523e-01 1.730337324296078575e-04 1.098873270247066949e-02 3.015666952900476261e+01 6.461012589066647376e-03 1.425678540799793304e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.600000000000000200e-01 -6.576893355289185195e+01 3.241353413262234424e-04 4.083174879512191380e-02 1.262192726135253906e-01 2.188777737346513260e-04 1.724143178618457034e-02 1.480813026428222656e-01 1.750591110991453784e-04 1.124466437287689226e-02 3.005303816714966914e+01 6.450575629920773588e-03 1.498043007144871197e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.699999999999999734e-01 -6.585315402315823974e+01 3.424880750499104641e-04 4.775283790609016754e-02 1.305160522460937500e-01 2.318309136756077822e-04 1.762333646183833480e-02 1.514342625935872211e-01 1.904285202549646245e-04 1.172544046847987138e-02 2.992723117159574286e+01 6.992456632088119885e-03 1.599535257881820094e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 4.799999999999999822e-01 -6.594232278716015117e+01 5.342634229210368318e-04 7.685696416291351585e-02 1.359451611836751117e-01 3.155096348341479280e-04 1.865947131406957976e-02 1.556385358174641742e-01 2.837914485222514378e-04 1.291720433192090900e-02 2.976608743559764747e+01 9.703549294633804015e-03 1.768587318108748718e+01 3.200000000000000000e+01 nan 0.000000000000000000e+00
